venomous,Black,"triangular 
spade shaped",yellowish white,Round,redness ,Cobra,1
Venomous,Black,"triangular 
spade shaped",yellowish white,Round,swelling ,Cobra,2
Venomous,Black,"triangular 
spade shaped",yellowish white,Round,severe pain,Cobra,3
Venomous,Black,"triangular 
spade shaped",yellowish white,Round,breathing problem,Cobra,4
Venomous,Black,"triangular 
spade shaped",yellowish white,Round,Vomiting,Cobra,5
Venomous,Black,"triangular 
spade shaped",yellowish white,Round,kidney failure,Cobra,6
Venomous,"dark 
brown","triangular 
spade shaped ",yellowish white,Round,redness ,Cobra,7
Venomous,"dark 
brown","triangular 
spade shaped",yellowish white,Round,swelling ,Cobra,8
Venomous,"dark 
brown","triangular 
spade shaped",yellowish white,Round,severe pain,Cobra,9
Venomous,"dark 
brown","triangular 
spade shaped",yellowish white,Round,Vomiting,Cobra,10
Venomous,"dark 
brown","triangular 
spade shaped",yellowish white,Round,breathing problem,Cobra,11
Venomous,"dark 
brown","triangular 
spade shaped",yellowish white,Round,kidney failure,Cobra,12
Venomous,Yellow,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,blurred vision,king cobra,13
Venomous,Yellow,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,speech problem,king cobra,14
Venomous,Yellow,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,"Sudden loss of 
consciousness",king cobra,15
Venomous,Yellow,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,Headache,king cobra,16
Venomous,Yellow,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,Blurred vision ,king cobra,17
Venomous,Yellow,roughly wedge-,chevron pattern ,Round,respiratory problem,king cobra,18
,,"shaped head 
broad and ",on the back,,,,
,,flattened,,,,,
Venomous,Green,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,blurred vision,king cobra,19
Venomous,Green,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,speech problem,king cobra,20
Venomous,Green,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,"Sudden loss of 
consciousness",king cobra,21
Venomous,Green,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,Headache,king cobra,22
Venomous,Green,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,Blurred vision ,king cobra,23
Venomous,Green,"roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,respiratory problem,king cobra,24
Venomous,"brown
black 
white 
crossbars","roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,blurred vision,king cobra,25
Venomous,"brown
black 
white 
crossbars","roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,speech problem,king cobra,26
Venomous,"brown
black 
white 
crossbars","roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,"Sudden loss of 
consciousness",king cobra,27
Venomous,"brown
black 
white 
crossbars","roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,Headache,king cobra,28
Venomous,"brown
black 
white 
crossbars","roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,Blurred vision ,king cobra,29
Venomous,"brown
black 
white 
crossbars","roughly wedge-
shaped head 
broad and 
flattened","chevron pattern 
on the back",Round,respiratory problem,king cobra,30
Venomous,Pale buff ,pear-shaped ,"Whitish spots, 
edged with dark 
brown, and 
separated by 
lighter 
interblotch 
patches.",Elliptical ,blood clothing,"saw scaled 
viper",31
Venomous,Pale buff,pear-shaped,"Whitish spots, 
edged with dark 
brown, and 
separated by 
lighter 
interblotch 
patches.",Elliptical ,abdominal pain,"saw scaled 
viper",32
Venomous,Pale buff,pear-shaped,"Whitish spots, 
edged with dark 
brown, and 
separated by 
lighter 
interblotch 
patches.",Elliptical ,vomiting,"saw scaled 
viper",33
Venomous,Pale buff,pear-shaped,"Whitish spots, 
edged with dark 
brown, and 
separated by 
lighter 
interblotch 
patches.",Elliptical ,kidney failure,"saw scaled 
viper",34
Venomous,Pale buff,pear-shaped,"Whitish spots, 
edged with dark 
brown, and 
separated by 
lighter 
interblotch 
patches.",Elliptical ,internal bleeding,"saw scaled 
viper",35
Venomous,grayish,pear-shaped ,"Whitish spots, 
edged with dark 
brown, and 
separated by 
lighter 
interblotch 
patches.",Elliptical ,blood clothing,"saw scaled 
viper",36
Venomous,Grayish,pear-shaped,"Whitish spots, ",Elliptical ,abdominal pain,saw scaled ,37
,,,"edged with dark 
brown, and 
separated by 
lighter 
interblotch ",,,viper,
,,,patches.,,,,
Venomous,Grayish,pear-shaped,"Whitish spots, 
edged with dark 
brown, and 
separated by 
lighter 
interblotch 
patches.",Elliptical ,vomiting,"saw scaled 
viper",38
Venomous,Grayish,pear-shaped,"Whitish spots, 
edged with dark 
brown, and 
separated by 
lighter 
interblotch 
patches.",Elliptical ,kidney failure,"saw scaled 
viper",39
